Note: E7, Duration: 0.01 seconds
Note: D6, Duration: 0.02 seconds
Note: D#6, Duration: 0.01 seconds
Note: D#6, Duration: 0.01 seconds
Note: C#6, Duration: 0.01 seconds
Note: F6, Duration: 0.01 seconds
Note: B6, Duration: 0.02 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: A6, Duration: 0.02 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.02 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: G#6, Duration: 0.02 seconds
Note: D#6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: C7, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: B5, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: A5, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: B6, Duration: 0.01 seconds
Note: A6, Duration: 0.01 seconds
Note: A6, Duration: 0.02 seconds
Note: A6, Duration: 0.01 seconds
Note: G#6, Duration: 0.01 seconds
Note: A5, Duration: 0.01 seconds
